event,date,platform,path,direction,days_from_peak,in_peak,n_dry_same_path,n_pre_same_path_36d,coherence_pair_ok,pc_rtc
assam_2022,2022-06-11,Sentinel-1A,143,ASCENDING,-4,False,7,3,True,True
assam_2022,2022-06-13,Sentinel-1A,4,DESCENDING,-2,False,7,3,True,True
assam_2022,2022-06-16,Sentinel-1A,41,ASCENDING,0,True,7,3,True,True
assam_2022,2022-06-18,Sentinel-1A,77,DESCENDING,0,True,7,3,True,True
assam_2022,2022-06-23,Sentinel-1A,143,ASCENDING,1,False,7,3,True,True
assam_2022,2022-06-28,Sentinel-1A,41,ASCENDING,6,False,7,3,True,True
assam_2022,2022-06-30,Sentinel-1A,77,DESCENDING,8,False,7,3,True,True
assam_2022,2022-07-05,Sentinel-1A,143,ASCENDING,13,False,7,3,True,True
assam_2022,2022-07-07,Sentinel-1A,4,DESCENDING,15,False,7,2,True,True
assam_2022,2022-07-12,Sentinel-1A,77,DESCENDING,20,False,7,3,True,True
assam_2022,2022-07-17,Sentinel-1A,143,ASCENDING,25,False,7,3,True,True
assam_2022,2022-07-19,Sentinel-1A,4,DESCENDING,27,False,7,2,True,True
assam_2022,2022-07-22,Sentinel-1A,41,ASCENDING,30,False,7,2,True,True
assam_2022,2022-07-24,Sentinel-1A,77,DESCENDING,32,False,7,3,True,True
assam_2022,2022-07-29,Sentinel-1A,143,ASCENDING,37,False,7,3,True,True
assam_2022,2022-07-31,Sentinel-1A,4,DESCENDING,39,False,7,2,True,False
assam_2022,2022-08-03,Sentinel-1A,41,ASCENDING,42,False,7,2,True,True
assam_2022,2022-08-05,Sentinel-1A,77,DESCENDING,44,False,7,3,True,True
assam_2022,2022-08-10,Sentinel-1A,143,ASCENDING,49,False,7,3,True,True
assam_2022,2022-08-12,Sentinel-1A,4,DESCENDING,51,False,7,3,True,True
