method,district,km2,district_km2
cd_vv,Lakhimpur,12.0404,92.3768
cd_vv,Nagaon,11.538300000000001,86.17360000000001
cd_vv,Sonitpur,28.190900000000003,330.5177
cd_vv,Golaghat,58.0773,1100.8538
cd_vv,Jorhat,0.0,2.0013
cd_vv,Majuli,65.4955,300.0831
cd_vv,Biswanath,92.857,1436.5328000000002
otsu_vh,Lakhimpur,32.905300000000004,92.3768
otsu_vh,Nagaon,19.607200000000002,86.17360000000001
otsu_vh,Sonitpur,98.3292,330.5177
otsu_vh,Golaghat,166.8386,1100.8538
otsu_vh,Jorhat,0.0229,2.0013
otsu_vh,Majuli,118.03800000000001,300.0831
otsu_vh,Biswanath,287.3663,1436.5328000000002
otsu_vv,Lakhimpur,24.9538,92.3768
otsu_vv,Nagaon,18.4157,86.17360000000001
otsu_vv,Sonitpur,62.77160000000001,330.5177
otsu_vv,Golaghat,98.4565,1100.8538
otsu_vv,Jorhat,0.0,2.0013
otsu_vv,Majuli,99.9259,300.0831
otsu_vv,Biswanath,170.2016,1436.5328000000002
split_vv,Lakhimpur,24.509900000000002,92.3768
split_vv,Nagaon,17.8608,86.17360000000001
split_vv,Sonitpur,58.689600000000006,330.5177
split_vv,Golaghat,93.9762,1100.8538
split_vv,Jorhat,0.0,2.0013
split_vv,Majuli,97.56620000000001,300.0831
split_vv,Biswanath,161.2645,1436.5328000000002
urban_incr,Lakhimpur,0.0,92.3768
urban_incr,Nagaon,0.0,86.17360000000001
urban_incr,Sonitpur,0.0864,330.5177
urban_incr,Golaghat,0.24350000000000002,1100.8538
urban_incr,Jorhat,0.0,2.0013
urban_incr,Majuli,0.0056,300.0831
urban_incr,Biswanath,0.5141,1436.5328000000002
dl_deeplab_r34,Lakhimpur,22.467200000000002,92.3768
dl_deeplab_r34,Nagaon,9.4859,86.17360000000001
dl_deeplab_r34,Sonitpur,12.5213,330.5177
dl_deeplab_r34,Golaghat,68.5772,1100.8538
dl_deeplab_r34,Jorhat,0.0,2.0013
dl_deeplab_r34,Majuli,85.6494,300.0831
dl_deeplab_r34,Biswanath,77.4098,1436.5328000000002
dl_segformer_b0,Lakhimpur,23.453300000000002,92.3768
dl_segformer_b0,Nagaon,14.8802,86.17360000000001
dl_segformer_b0,Sonitpur,24.593400000000003,330.5177
dl_segformer_b0,Golaghat,92.6714,1100.8538
dl_segformer_b0,Jorhat,0.0009000000000000001,2.0013
dl_segformer_b0,Majuli,79.9231,300.0831
dl_segformer_b0,Biswanath,130.3996,1436.5328000000002
dl_segformer_b2,Lakhimpur,24.5986,92.3768
dl_segformer_b2,Nagaon,16.2531,86.17360000000001
dl_segformer_b2,Sonitpur,24.982000000000003,330.5177
dl_segformer_b2,Golaghat,106.43900000000001,1100.8538
dl_segformer_b2,Jorhat,0.0026000000000000003,2.0013
dl_segformer_b2,Majuli,88.352,300.0831
dl_segformer_b2,Biswanath,159.91660000000002,1436.5328000000002
dl_unet_r18,Lakhimpur,7.5247,92.3768
dl_unet_r18,Nagaon,6.7029000000000005,86.17360000000001
dl_unet_r18,Sonitpur,9.4361,330.5177
dl_unet_r18,Golaghat,47.2179,1100.8538
dl_unet_r18,Jorhat,0.0031000000000000003,2.0013
dl_unet_r18,Majuli,27.5091,300.0831
dl_unet_r18,Biswanath,52.302400000000006,1436.5328000000002
dl_unet_r34,Lakhimpur,7.0678,92.3768
dl_unet_r34,Nagaon,5.2521,86.17360000000001
dl_unet_r34,Sonitpur,8.4731,330.5177
dl_unet_r34,Golaghat,43.72,1100.8538
dl_unet_r34,Jorhat,0.0009000000000000001,2.0013
dl_unet_r34,Majuli,13.4311,300.0831
dl_unet_r34,Biswanath,42.9709,1436.5328000000002
dl_ensemble,Lakhimpur,19.6693,92.3768
dl_ensemble,Nagaon,9.429,86.17360000000001
dl_ensemble,Sonitpur,10.696,330.5177
dl_ensemble,Golaghat,58.648500000000006,1100.8538
dl_ensemble,Jorhat,0.0007,2.0013
dl_ensemble,Majuli,60.8076,300.0831
dl_ensemble,Biswanath,68.58500000000001,1436.5328000000002
final_majority,Lakhimpur,19.6122,92.3768
final_majority,Nagaon,14.5988,86.17360000000001
final_majority,Sonitpur,29.8166,330.5177
final_majority,Golaghat,69.70530000000001,1100.8538
final_majority,Jorhat,0.0,2.0013
final_majority,Majuli,81.661,300.0831
final_majority,Biswanath,104.19760000000001,1436.5328000000002
