group,coh_pre,coh_co,delta,n_px,coh_dry,delta_vs_dry
tree (all),0.40055447816848755,0.36793678998947144,-0.023350298404693604,10874606,0.8872851133346558,-0.37908223271369934
shrub (all),0.6831864714622498,0.5540474057197571,-0.05901944637298584,43831,0.9637811779975891,-0.36717313528060913
grass (all),0.6485916376113892,0.5638913512229919,-0.04099893569946289,2071567,0.9651526808738708,-0.35634908080101013
cropland (all),0.41940736770629883,0.3856782615184784,-0.021222203969955444,13209797,0.9515156745910645,-0.5003358125686646
built-up (all),0.6766175627708435,0.6446989178657532,-0.017009228467941284,358618,0.9163724184036255,-0.23790019750595093
bare (all),0.6031888127326965,0.5192466974258423,-0.010515019297599792,456708,0.9673589468002319,-0.3775107264518738
permanent water (all),0.3423706293106079,0.35698333382606506,0.008888214826583862,6408253,0.9603175520896912,-0.4628543257713318
herb. wetland (all),0.2957921624183655,0.2923000752925873,-0.0053646862506866455,62011,0.8217809200286865,-0.4932641386985779
"built-up, not flooded",0.6766232252120972,0.644718587398529,-0.016987621784210205,358526,0.9163724184036255,-0.23785066604614258
"cropland, mapped flood",0.375853568315506,0.3351351022720337,-0.029255032539367676,533792,0.9495407938957214,-0.5472252368927002
"cropland, not flooded",0.4211401343345642,0.3881416916847229,-0.02087262272834778,12676005,0.9516004323959351,-0.4982942044734955
all mapped flood,0.3422461152076721,0.35647663474082947,0.012044012546539307,3195915,0.9620060324668884,-0.5190372467041016
all non-flood land,0.44529831409454346,0.4056275486946106,-0.022129565477371216,24260073,0.9320691227912903,-0.41760724782943726
