feature,cls,db,density
VV,permanent water,-34.875,0.0
VV,permanent water,-34.625,0.0
VV,permanent water,-34.375,0.0
VV,permanent water,-34.125,0.0
VV,permanent water,-33.875,0.0
VV,permanent water,-33.625,0.0
VV,permanent water,-33.375,0.0
VV,permanent water,-33.125,0.0
VV,permanent water,-32.875,0.0
VV,permanent water,-32.625,0.0
VV,permanent water,-32.375,0.0
VV,permanent water,-32.125,0.0
VV,permanent water,-31.875,0.0
VV,permanent water,-31.625,0.0
VV,permanent water,-31.375,0.0
VV,permanent water,-31.125,0.0
VV,permanent water,-30.875,0.0
VV,permanent water,-30.625,0.0
VV,permanent water,-30.375,0.0
VV,permanent water,-30.125,0.0
VV,permanent water,-29.875,0.0
VV,permanent water,-29.625,0.0
VV,permanent water,-29.375,0.0
VV,permanent water,-29.125,0.0
VV,permanent water,-28.875,0.0
VV,permanent water,-28.625,0.0
VV,permanent water,-28.375,0.0
VV,permanent water,-28.125,0.0
VV,permanent water,-27.875,0.0
VV,permanent water,-27.625,0.0
VV,permanent water,-27.375,0.0
VV,permanent water,-27.125,0.0
VV,permanent water,-26.875,0.0
VV,permanent water,-26.625,4e-05
VV,permanent water,-26.375,4e-05
VV,permanent water,-26.125,0.00012
VV,permanent water,-25.875,0.00018
VV,permanent water,-25.625,0.00052
VV,permanent water,-25.375,0.00086
VV,permanent water,-25.125,0.002
VV,permanent water,-24.875,0.004
VV,permanent water,-24.625,0.00774
VV,permanent water,-24.375,0.01254
VV,permanent water,-24.125,0.02046
VV,permanent water,-23.875,0.0332
VV,permanent water,-23.625,0.04674
VV,permanent water,-23.375,0.06708
VV,permanent water,-23.125,0.08744
VV,permanent water,-22.875,0.10936
VV,permanent water,-22.625,0.1295
VV,permanent water,-22.375,0.14416
VV,permanent water,-22.125,0.1543
VV,permanent water,-21.875,0.16028
VV,permanent water,-21.625,0.15908
VV,permanent water,-21.375,0.15744
VV,permanent water,-21.125,0.15544
VV,permanent water,-20.875,0.15232
VV,permanent water,-20.625,0.15032
VV,permanent water,-20.375,0.13952
VV,permanent water,-20.125,0.13702
VV,permanent water,-19.875,0.13194
VV,permanent water,-19.625,0.12066
VV,permanent water,-19.375,0.11644
VV,permanent water,-19.125,0.1089
VV,permanent water,-18.875,0.10394
VV,permanent water,-18.625,0.0986
VV,permanent water,-18.375,0.09796
VV,permanent water,-18.125,0.09788
VV,permanent water,-17.875,0.0915
VV,permanent water,-17.625,0.0909
VV,permanent water,-17.375,0.08534
VV,permanent water,-17.125,0.08222
VV,permanent water,-16.875,0.07436
VV,permanent water,-16.625,0.06696
VV,permanent water,-16.375,0.06196
VV,permanent water,-16.125,0.05316
VV,permanent water,-15.875,0.0474
VV,permanent water,-15.625,0.04358
VV,permanent water,-15.375,0.03916
VV,permanent water,-15.125,0.03406
VV,permanent water,-14.875,0.0311
VV,permanent water,-14.625,0.02558
VV,permanent water,-14.375,0.02422
VV,permanent water,-14.125,0.02084
VV,permanent water,-13.875,0.0191
VV,permanent water,-13.625,0.01686
VV,permanent water,-13.375,0.01524
VV,permanent water,-13.125,0.01352
VV,permanent water,-12.875,0.01346
VV,permanent water,-12.625,0.01118
VV,permanent water,-12.375,0.01032
VV,permanent water,-12.125,0.0102
VV,permanent water,-11.875,0.0089
VV,permanent water,-11.625,0.00792
VV,permanent water,-11.375,0.00816
VV,permanent water,-11.125,0.00674
VV,permanent water,-10.875,0.00606
VV,permanent water,-10.625,0.00602
VV,permanent water,-10.375,0.0052
VV,permanent water,-10.125,0.00494
VV,permanent water,-9.875,0.00462
VV,permanent water,-9.625,0.00428
VV,permanent water,-9.375,0.00432
