a,b,iou
cd_vv,cd_vv,1.0
cd_vv,otsu_vh,0.36677296436281154
cd_vv,otsu_vv,0.564957277380109
cd_vv,split_vv,0.5909204278255842
cd_vv,dl_deeplab_r34,0.31417803241562303
cd_vv,dl_segformer_b0,0.3745890569825088
cd_vv,dl_segformer_b2,0.4207774033237954
cd_vv,dl_unet_r18,0.17918044831284502
cd_vv,dl_unet_r34,0.13394278054217876
cd_vv,dl_ensemble,0.2929446505506742
cd_vv,final_majority,0.8391944091128831
otsu_vh,cd_vv,0.36677296436281154
otsu_vh,otsu_vh,1.0
otsu_vh,otsu_vv,0.6436932774527592
otsu_vh,split_vv,0.6200624198554273
otsu_vh,dl_deeplab_r34,0.3466786219492735
otsu_vh,dl_segformer_b0,0.4311239907332952
otsu_vh,dl_segformer_b2,0.509349601972466
otsu_vh,dl_unet_r18,0.17589864760116616
otsu_vh,dl_unet_r34,0.14080818612607554
otsu_vh,dl_ensemble,0.28288148763719956
otsu_vh,final_majority,0.4363984289557923
otsu_vv,cd_vv,0.564957277380109
otsu_vv,otsu_vh,0.6436932774527592
otsu_vv,otsu_vv,1.0
otsu_vv,split_vv,0.9560632037362254
otsu_vv,dl_deeplab_r34,0.3774321071997473
otsu_vv,dl_segformer_b0,0.4716776537384755
otsu_vv,dl_segformer_b2,0.6280418413785352
otsu_vv,dl_unet_r18,0.1768792686059235
otsu_vv,dl_unet_r34,0.130484326807431
otsu_vv,dl_ensemble,0.32467139698140757
otsu_vv,final_majority,0.6732138241689769
split_vv,cd_vv,0.5909204278255842
split_vv,otsu_vh,0.6200624198554273
split_vv,otsu_vv,0.9560632037362254
split_vv,split_vv,1.0
split_vv,dl_deeplab_r34,0.36453897474423935
split_vv,dl_segformer_b0,0.461815578403786
split_vv,dl_segformer_b2,0.6295441322433566
split_vv,dl_unet_r18,0.16665248304961275
split_vv,dl_unet_r34,0.12186466885086686
split_vv,dl_ensemble,0.31622366696555243
split_vv,final_majority,0.7041520074594507
dl_deeplab_r34,cd_vv,0.31417803241562303
dl_deeplab_r34,otsu_vh,0.3466786219492735
dl_deeplab_r34,otsu_vv,0.3774321071997473
dl_deeplab_r34,split_vv,0.36453897474423935
dl_deeplab_r34,dl_deeplab_r34,1.0
dl_deeplab_r34,dl_segformer_b0,0.5156718864975386
dl_deeplab_r34,dl_segformer_b2,0.412883201294088
dl_deeplab_r34,dl_unet_r18,0.4213695476901958
dl_deeplab_r34,dl_unet_r34,0.3210255526389953
dl_deeplab_r34,dl_ensemble,0.7434278988926682
dl_deeplab_r34,final_majority,0.43606428779610423
dl_segformer_b0,cd_vv,0.3745890569825088
dl_segformer_b0,otsu_vh,0.4311239907332952
dl_segformer_b0,otsu_vv,0.4716776537384755
dl_segformer_b0,split_vv,0.461815578403786
dl_segformer_b0,dl_deeplab_r34,0.5156718864975386
dl_segformer_b0,dl_segformer_b0,1.0
dl_segformer_b0,dl_segformer_b2,0.6203214659798045
dl_segformer_b0,dl_unet_r18,0.3107407201615864
dl_segformer_b0,dl_unet_r34,0.23805287814772375
dl_segformer_b0,dl_ensemble,0.5657663093295472
dl_segformer_b0,final_majority,0.4831470835580728
dl_segformer_b2,cd_vv,0.4207774033237954
dl_segformer_b2,otsu_vh,0.509349601972466
dl_segformer_b2,otsu_vv,0.6280418413785352
dl_segformer_b2,split_vv,0.6295441322433566
dl_segformer_b2,dl_deeplab_r34,0.412883201294088
dl_segformer_b2,dl_segformer_b0,0.6203214659798045
dl_segformer_b2,dl_segformer_b2,1.0
dl_segformer_b2,dl_unet_r18,0.23749641201058472
dl_segformer_b2,dl_unet_r34,0.1877277881155667
dl_segformer_b2,dl_ensemble,0.4522439137254498
dl_segformer_b2,final_majority,0.5164350462704673
dl_unet_r18,cd_vv,0.17918044831284502
dl_unet_r18,otsu_vh,0.17589864760116616
dl_unet_r18,otsu_vv,0.1768792686059235
dl_unet_r18,split_vv,0.16665248304961275
dl_unet_r18,dl_deeplab_r34,0.4213695476901958
dl_unet_r18,dl_segformer_b0,0.3107407201615864
dl_unet_r18,dl_segformer_b2,0.23749641201058472
dl_unet_r18,dl_unet_r18,1.0
dl_unet_r18,dl_unet_r34,0.6247492847174492
dl_unet_r18,dl_ensemble,0.5472407714043619
dl_unet_r18,final_majority,0.22188639458999093
dl_unet_r34,cd_vv,0.13394278054217876
dl_unet_r34,otsu_vh,0.14080818612607554
dl_unet_r34,otsu_vv,0.130484326807431
dl_unet_r34,split_vv,0.12186466885086686
dl_unet_r34,dl_deeplab_r34,0.3210255526389953
dl_unet_r34,dl_segformer_b0,0.23805287814772375
dl_unet_r34,dl_segformer_b2,0.1877277881155667
dl_unet_r34,dl_unet_r18,0.6247492847174492
dl_unet_r34,dl_unet_r34,1.0
dl_unet_r34,dl_ensemble,0.4309705802342142
dl_unet_r34,final_majority,0.1640700808625337
dl_ensemble,cd_vv,0.2929446505506742
dl_ensemble,otsu_vh,0.28288148763719956
dl_ensemble,otsu_vv,0.32467139698140757
dl_ensemble,split_vv,0.31622366696555243
dl_ensemble,dl_deeplab_r34,0.7434278988926682
dl_ensemble,dl_segformer_b0,0.5657663093295472
dl_ensemble,dl_segformer_b2,0.4522439137254498
dl_ensemble,dl_unet_r18,0.5472407714043619
dl_ensemble,dl_unet_r34,0.4309705802342142
dl_ensemble,dl_ensemble,1.0
dl_ensemble,final_majority,0.426901072572012
final_majority,cd_vv,0.8391944091128831
final_majority,otsu_vh,0.4363984289557923
final_majority,otsu_vv,0.6732138241689769
final_majority,split_vv,0.7041520074594507
final_majority,dl_deeplab_r34,0.43606428779610423
final_majority,dl_segformer_b0,0.4831470835580728
final_majority,dl_segformer_b2,0.5164350462704673
final_majority,dl_unet_r18,0.22188639458999093
final_majority,dl_unet_r34,0.1640700808625337
final_majority,dl_ensemble,0.426901072572012
final_majority,final_majority,1.0
