model,params_M,split,iou,f1,precision,recall,kappa
deeplab_r34,22.437457,valid,0.6547656332341747,0.7913696297335604,0.8005593050968947,0.7823885378580014,0.7659025281091549
deeplab_r34,22.437457,test,0.6847923175871374,0.8129100666459087,0.8140529578668845,0.8117703800544571,0.7867077776853734
deeplab_r34,22.437457,bolivia,0.7486322524334762,0.8562489355799603,0.8297592307340992,0.8844857612618693,0.8278214169216939
segformer_b0,3.714401,valid,0.6875407059455401,0.8148434032117838,0.7871661462304053,0.8445378866854966,0.7910382197040794
segformer_b0,3.714401,test,0.662569636848171,0.7970428692589893,0.7963162435972031,0.7977708222001679,0.7685431550974854
segformer_b0,3.714401,bolivia,0.6876688917778006,0.8149334210378268,0.7972397150810199,0.833430330979573,0.778748134461265
segformer_b2,24.722369,valid,0.6972858312165917,0.8216480906068562,0.8302225028482012,0.8132489783552034,0.7998485681946575
segformer_b2,24.722369,test,0.6985068481444364,0.8224951802903032,0.8619329835476391,0.7865084325775504,0.7988862693853035
segformer_b2,24.722369,bolivia,0.6353316289891707,0.7770064710139327,0.8251658330452344,0.7341585878322907,0.7374510988502041
unet_r18,14.328209,valid,0.6513168267615232,0.7888453823108579,0.8023866709130161,0.7757535610786275,0.7632279534998597
unet_r18,14.328209,test,0.6808368023116175,0.8101164864730208,0.8121016868698412,0.8081409681400615,0.7835545392306843
unet_r18,14.328209,bolivia,0.68020172810927,0.8096667402844545,0.8383698830755815,0.782863945864249,0.774881624942133
unet_r34,24.436369,valid,0.6494194581657795,0.7874521607595922,0.7712392067309861,0.8043614081353313,0.7605458344860432
unet_r34,24.436369,test,0.6792162580328217,0.8089681776050859,0.7980328764346349,0.820207331348449,0.7817514153019883
unet_r34,24.436369,bolivia,0.6105328569209258,0.7581749782965178,0.8208062378489323,0.7044241991055563,0.7162382524069358
