a,b,iou
otsu_vv,otsu_vh,0.6436932774527592
otsu_vv,split_vv,0.9560632037362254
otsu_vv,cd_vv,0.564957277380109
otsu_vv,dl_deeplab_r34,0.3774321071997473
otsu_vv,dl_segformer_b0,0.4716776537384755
otsu_vv,dl_segformer_b2,0.6280418413785352
otsu_vv,dl_unet_r18,0.1768792686059235
otsu_vv,dl_unet_r34,0.130484326807431
otsu_vh,split_vv,0.6200624198554273
otsu_vh,cd_vv,0.36677296436281154
otsu_vh,dl_deeplab_r34,0.3466786219492735
otsu_vh,dl_segformer_b0,0.4311239907332952
otsu_vh,dl_segformer_b2,0.509349601972466
otsu_vh,dl_unet_r18,0.17589864760116616
otsu_vh,dl_unet_r34,0.14080818612607554
split_vv,cd_vv,0.5909204278255842
split_vv,dl_deeplab_r34,0.36453897474423935
split_vv,dl_segformer_b0,0.461815578403786
split_vv,dl_segformer_b2,0.6295441322433566
split_vv,dl_unet_r18,0.16665248304961275
split_vv,dl_unet_r34,0.12186466885086686
cd_vv,dl_deeplab_r34,0.31417803241562303
cd_vv,dl_segformer_b0,0.3745890569825088
cd_vv,dl_segformer_b2,0.4207774033237954
cd_vv,dl_unet_r18,0.17918044831284502
cd_vv,dl_unet_r34,0.13394278054217876
dl_deeplab_r34,dl_segformer_b0,0.5156718864975386
dl_deeplab_r34,dl_segformer_b2,0.412883201294088
dl_deeplab_r34,dl_unet_r18,0.4213695476901958
dl_deeplab_r34,dl_unet_r34,0.3210255526389953
dl_segformer_b0,dl_segformer_b2,0.6203214659798045
dl_segformer_b0,dl_unet_r18,0.3107407201615864
dl_segformer_b0,dl_unet_r34,0.23805287814772375
dl_segformer_b2,dl_unet_r18,0.23749641201058472
dl_segformer_b2,dl_unet_r34,0.1877277881155667
dl_unet_r18,dl_unet_r34,0.6247492847174492
