control,cutoff,area_km2,removed_km2,removed_pct
HAND [m],5.0,418.48080000000004,56.2443,11.847761999523513
HAND [m],10.0,473.97240000000005,0.7527,0.15855491946813008
HAND [m],15.0,474.7251,0.0,0.0
HAND [m],25.0,474.7251,0.0,0.0
HAND [m],inf,474.7251,0.0,0.0
slope [deg],2.0,429.4053,45.3198,9.546535458099855
slope [deg],3.0,450.43,24.2951,5.117719707679244
slope [deg],5.0,474.7251,0.0,0.0
slope [deg],10.0,474.7251,0.0,0.0
slope [deg],inf,474.7251,0.0,0.0
"min object [px], additional",0.0,474.7251,0.0,0.0
"min object [px], additional",4.0,474.5443,0.18080000000000002,0.03808519920265434
"min object [px], additional",8.0,474.2599,0.4652,0.0979935545855907
"min object [px], additional",16.0,470.5709,4.1542,0.8750748591132005
"min object [px], additional",25.0,467.25620000000004,7.4689000000000005,1.573310532769386
"min object [px], additional",50.0,460.3684,14.3567,3.024213381597055
