filter,enl,mean_db
raw,5.6576076,-6.811858
raw,5.4751034,-8.089895
raw,4.0127106,-7.952382
raw,5.8686476,-7.245138
raw,4.8117685,-8.269939
raw,3.702907,-8.573748
raw,5.738912,-9.672094
raw,4.5541544,-7.0072355
raw,4.4595942,-8.337659
raw,4.4621267,-7.1588087
raw,5.179518,-6.799959
raw,4.000703,-5.9602985
raw,5.693026,-6.9300947
raw,4.668632,-7.7547665
raw,3.2872233,-8.18121
raw,6.4201145,-8.601021
raw,4.3822355,-6.861106
raw,3.5502076,-7.4495687
raw,4.4895716,-8.387672
raw,4.5768237,-8.708454
raw,5.412696,-6.9159613
raw,5.984536,-7.035942
raw,4.3712273,-8.51953
raw,4.957734,-7.4108877
raw,5.2852097,-7.5392313
Lee 5x5,20.003172,-6.8667583
Lee 5x5,23.47358,-8.123571
Lee 5x5,11.314287,-7.977705
Lee 5x5,18.442574,-7.2478447
Lee 5x5,12.54575,-8.317742
Lee 5x5,8.833965,-8.624967
Lee 5x5,22.056927,-9.67314
Lee 5x5,15.821117,-7.0311165
Lee 5x5,14.484646,-8.338942
Lee 5x5,13.160096,-7.1484957
Lee 5x5,18.242477,-6.802926
Lee 5x5,10.856862,-5.991274
Lee 5x5,19.989206,-6.926957
Lee 5x5,15.024579,-7.7866893
Lee 5x5,6.580149,-8.238405
Lee 5x5,23.706882,-8.658171
Lee 5x5,11.376957,-6.860708
Lee 5x5,8.984272,-7.50661
Lee 5x5,14.52522,-8.426268
Lee 5x5,13.385144,-8.713957
Lee 5x5,17.978832,-6.9415655
Lee 5x5,31.54573,-7.030122
Lee 5x5,12.606476,-8.532434
Lee 5x5,16.524794,-7.4735928
Lee 5x5,20.555407,-7.586556
Refined Lee,11.632609,-6.859703
Refined Lee,12.602994,-8.125217
Refined Lee,7.7890296,-7.9812613
Refined Lee,11.645057,-7.2606444
Refined Lee,8.598893,-8.333634
Refined Lee,6.5988255,-8.593015
Refined Lee,12.372959,-9.655271
Refined Lee,9.288295,-7.0335097
Refined Lee,9.29316,-8.330675
Refined Lee,8.340524,-7.1596966
Refined Lee,10.939418,-6.811756
Refined Lee,7.304474,-5.976325
Refined Lee,11.617821,-6.9321604
Refined Lee,9.7304125,-7.805134
Refined Lee,5.306456,-8.210834
Refined Lee,13.37907,-8.640186
Refined Lee,7.727523,-6.8609886
Refined Lee,6.2983227,-7.4856925
Refined Lee,9.10424,-8.436408
Refined Lee,8.80737,-8.666304
Refined Lee,11.149823,-6.908346
Refined Lee,15.155077,-7.0406256
Refined Lee,8.234965,-8.572358
Refined Lee,10.030601,-7.4532146
Refined Lee,11.146774,-7.567792
