event,date,platform,path,direction,days_from_peak,in_peak,n_dry_same_path,n_pre_same_path_36d,coherence_pair_ok,pc_rtc
kerala_2018,2018-08-09,Sentinel-1A,165,DESCENDING,-6,False,10,3,True,True
kerala_2018,2018-08-21,Sentinel-1A,165,DESCENDING,0,True,10,3,True,True
kerala_2018,2018-08-21,Sentinel-1A,173,ASCENDING,0,True,0,0,False,True
kerala_2018,2018-08-27,Sentinel-1B,165,DESCENDING,6,False,10,3,True,True
kerala_2018,2018-08-27,Sentinel-1B,173,ASCENDING,6,False,0,1,False,True
kerala_2018,2018-09-02,Sentinel-1A,165,DESCENDING,12,False,10,4,True,True
hyderabad_2020,2020-10-09,Sentinel-1A,165,DESCENDING,-4,False,12,3,True,True
hyderabad_2020,2020-10-21,Sentinel-1A,165,DESCENDING,3,False,12,3,True,True
bengaluru_2022,2022-09-05,Sentinel-1A,165,DESCENDING,0,True,9,2,True,True
delhi_2023,2023-07-12,Sentinel-1A,136,DESCENDING,-1,False,5,3,True,True
delhi_2023,2023-07-16,Sentinel-1A,27,ASCENDING,0,True,10,3,True,True
delhi_2023,2023-07-19,Sentinel-1A,63,DESCENDING,2,False,5,3,True,False
delhi_2023,2023-07-24,Sentinel-1A,136,DESCENDING,7,False,5,3,True,True
mumbai_2024,2024-07-11,Sentinel-1A,34,DESCENDING,2,False,10,3,True,True
wayanad_2024,2024-07-25,Sentinel-1A,63,DESCENDING,-5,False,7,3,True,True
wayanad_2024,2024-08-01,Sentinel-1A,165,DESCENDING,0,True,9,3,True,True
wayanad_2024,2024-08-06,Sentinel-1A,63,DESCENDING,4,False,7,3,True,True
wayanad_2024,2024-08-13,Sentinel-1A,165,DESCENDING,11,False,9,3,True,True
assam_2020,2020-07-05,Sentinel-1A,4,DESCENDING,-8,False,7,1,False,True
assam_2020,2020-07-08,Sentinel-1A,41,ASCENDING,-5,False,7,3,True,True
assam_2020,2020-07-15,Sentinel-1A,143,ASCENDING,0,True,8,3,True,True
assam_2020,2020-07-16,Sentinel-1B,77,DESCENDING,0,True,7,0,False,True
assam_2020,2020-07-17,Sentinel-1A,4,DESCENDING,0,True,7,1,False,True
assam_2020,2020-07-20,Sentinel-1A,41,ASCENDING,0,True,7,3,True,True
assam_2020,2020-07-22,Sentinel-1A,77,DESCENDING,2,False,7,1,False,True
assam_2020,2020-07-23,Sentinel-1B,4,DESCENDING,3,False,7,2,True,True
assam_2020,2020-07-26,Sentinel-1B,41,ASCENDING,6,False,7,3,True,True
assam_2020,2020-07-27,Sentinel-1A,143,ASCENDING,7,False,8,3,True,True
assam_2020,2020-07-29,Sentinel-1A,4,DESCENDING,9,False,7,3,True,True
assam_2022,2022-06-11,Sentinel-1A,143,ASCENDING,-4,False,7,3,True,True
assam_2022,2022-06-13,Sentinel-1A,4,DESCENDING,-2,False,7,3,True,True
assam_2022,2022-06-16,Sentinel-1A,41,ASCENDING,0,True,7,3,True,True
assam_2022,2022-06-18,Sentinel-1A,77,DESCENDING,0,True,7,3,True,True
assam_2022,2022-06-23,Sentinel-1A,143,ASCENDING,1,False,7,3,True,True
assam_2022,2022-06-28,Sentinel-1A,41,ASCENDING,6,False,7,3,True,True
assam_2022,2022-06-30,Sentinel-1A,77,DESCENDING,8,False,7,3,True,True
assam_2022,2022-07-05,Sentinel-1A,143,ASCENDING,13,False,7,3,True,True
assam_2022,2022-07-07,Sentinel-1A,4,DESCENDING,15,False,7,2,True,True
assam_2022,2022-07-12,Sentinel-1A,77,DESCENDING,20,False,7,3,True,True
assam_2022,2022-07-17,Sentinel-1A,143,ASCENDING,25,False,7,3,True,True
assam_2022,2022-07-19,Sentinel-1A,4,DESCENDING,27,False,7,2,True,True
assam_2022,2022-07-22,Sentinel-1A,41,ASCENDING,30,False,7,2,True,True
assam_2022,2022-07-24,Sentinel-1A,77,DESCENDING,32,False,7,3,True,True
assam_2022,2022-07-29,Sentinel-1A,143,ASCENDING,37,False,7,3,True,True
assam_2022,2022-07-31,Sentinel-1A,4,DESCENDING,39,False,7,2,True,False
assam_2022,2022-08-03,Sentinel-1A,41,ASCENDING,42,False,7,2,True,True
assam_2022,2022-08-05,Sentinel-1A,77,DESCENDING,44,False,7,3,True,True
assam_2022,2022-08-10,Sentinel-1A,143,ASCENDING,49,False,7,3,True,True
assam_2022,2022-08-12,Sentinel-1A,4,DESCENDING,51,False,7,3,True,True
bihar_2020,2020-07-17,Sentinel-1B,85,ASCENDING,-8,False,10,3,True,True
bihar_2020,2020-07-18,Sentinel-1A,12,ASCENDING,-7,False,10,4,True,True
bihar_2020,2020-07-23,Sentinel-1A,85,ASCENDING,-2,False,10,4,True,True
bihar_2020,2020-07-26,Sentinel-1A,121,DESCENDING,0,True,12,3,True,True
bihar_2020,2020-07-29,Sentinel-1B,85,ASCENDING,0,True,10,4,True,True
bihar_2020,2020-07-30,Sentinel-1A,12,ASCENDING,0,True,10,4,True,True
bihar_2020,2020-08-04,Sentinel-1A,85,ASCENDING,2,False,10,5,True,True
bihar_2020,2020-08-07,Sentinel-1A,121,DESCENDING,5,False,12,3,True,True
bihar_2020,2020-08-11,Sentinel-1A,12,ASCENDING,9,False,10,4,True,True
