group,coh_pre,coh_co,delta,n_px,coh_dry,delta_vs_dry
tree (all),0.6404012441635132,0.44707632064819336,-0.08352166414260864,2655134,0.814883828163147,-0.23314979672431946
shrub (all),0.428276002407074,0.3340836763381958,-0.06841415166854858,1680352,0.7842028737068176,-0.3690427541732788
grass (all),0.6376368999481201,0.421684592962265,-0.13749152421951294,788751,0.8677825927734375,-0.36494216322898865
cropland (all),0.5318506360054016,0.36037391424179077,-0.1068773865699768,3833149,0.8327220678329468,-0.38546186685562134
built-up (all),0.9239473938941956,0.8026721477508545,-0.0849541425704956,5753621,0.9493061304092407,-0.1212456226348877
bare (all),0.7150498628616333,0.4735642969608307,-0.14759469032287598,184291,0.8642559051513672,-0.2885667085647583
permanent water (all),0.6448761820793152,0.44849589467048645,-0.0905923992395401,133168,0.8167068362236023,-0.2393116056919098
herb. wetland (all),0.658088743686676,0.3975243866443634,-0.09503135085105896,5134,0.6462922692298889,-0.12311512231826782
"built-up, not flooded",0.9239499568939209,0.8026779890060425,-0.08494985103607178,5753491,0.9493080377578735,-0.1212453842163086
"cropland, mapped flood",0.3079327940940857,0.2887345850467682,-0.022296875715255737,69177,0.598114550113678,-0.28071129322052
"cropland, not flooded",0.5378352403640747,0.36265987157821655,-0.10939714312553406,3763972,0.8349188566207886,-0.3866819441318512
all mapped flood,0.3118753433227539,0.29104170203208923,-0.023825332522392273,100872,0.5590407848358154,-0.2312343567609787
all non-flood land,0.7111376523971558,0.49059584736824036,-0.09206682443618774,9418727,0.8697617650032043,-0.2544054388999939
