feature,cls,db,density
VV,permanent water,-34.875,0.0
VV,permanent water,-34.625,0.0
VV,permanent water,-34.375,0.0
VV,permanent water,-34.125,0.0
VV,permanent water,-33.875,0.0
VV,permanent water,-33.625,0.0
VV,permanent water,-33.375,0.0
VV,permanent water,-33.125,0.0
VV,permanent water,-32.875,0.0
VV,permanent water,-32.625,0.0
VV,permanent water,-32.375,0.0
VV,permanent water,-32.125,0.0
VV,permanent water,-31.875,0.0
VV,permanent water,-31.625,0.0
VV,permanent water,-31.375,0.0
VV,permanent water,-31.125,0.0
VV,permanent water,-30.875,0.0
VV,permanent water,-30.625,0.0
VV,permanent water,-30.375,0.0
VV,permanent water,-30.125,0.0
VV,permanent water,-29.875,0.0
VV,permanent water,-29.625,0.0
VV,permanent water,-29.375,0.0
VV,permanent water,-29.125,0.0
VV,permanent water,-28.875,0.0
VV,permanent water,-28.625,0.0
VV,permanent water,-28.375,0.0
VV,permanent water,-28.125,0.0
VV,permanent water,-27.875,0.0
VV,permanent water,-27.625,0.0
VV,permanent water,-27.375,0.0
VV,permanent water,-27.125,0.0
VV,permanent water,-26.875,0.0
VV,permanent water,-26.625,0.0
VV,permanent water,-26.375,0.0
VV,permanent water,-26.125,0.0
VV,permanent water,-25.875,0.0
VV,permanent water,-25.625,0.0
VV,permanent water,-25.375,0.0
VV,permanent water,-25.125,0.0
VV,permanent water,-24.875,0.0
VV,permanent water,-24.625,0.0
VV,permanent water,-24.375,0.0
VV,permanent water,-24.125,0.0
VV,permanent water,-23.875,0.0
VV,permanent water,-23.625,0.0
VV,permanent water,-23.375,0.0
VV,permanent water,-23.125,0.0
VV,permanent water,-22.875,0.0
VV,permanent water,-22.625,0.0
VV,permanent water,-22.375,0.0
VV,permanent water,-22.125,0.0
VV,permanent water,-21.875,0.0
VV,permanent water,-21.625,0.0
VV,permanent water,-21.375,0.00010984484415762735
VV,permanent water,-21.125,0.0007689139091033915
VV,permanent water,-20.875,0.0017575175065220375
VV,permanent water,-20.625,0.002746121103940684
VV,permanent water,-20.375,0.005052862831250858
VV,permanent water,-20.125,0.011094329259920363
VV,permanent water,-19.875,0.018234244130166142
VV,permanent water,-19.625,0.03152547027323905
VV,permanent water,-19.375,0.04437731703968145
VV,permanent water,-19.125,0.06272140601400522
VV,permanent water,-18.875,0.09172044487161884
VV,permanent water,-18.625,0.1289578470410545
VV,permanent water,-18.375,0.15971440340519016
VV,permanent water,-18.125,0.1827818206782919
VV,permanent water,-17.875,0.19969792667856653
VV,permanent water,-17.625,0.2180420156528903
VV,permanent water,-17.375,0.22397363723740216
VV,permanent water,-17.125,0.23309075930248524
VV,permanent water,-16.875,0.22880681038033776
VV,permanent water,-16.625,0.22276534395166828
VV,permanent water,-16.375,0.21375806673074282
VV,permanent water,-16.125,0.20595908279555128
VV,permanent water,-15.875,0.17014966360016476
VV,permanent water,-15.625,0.1481806947686393
VV,permanent water,-15.375,0.11995056982012907
VV,permanent water,-15.125,0.09831113552107648
VV,permanent water,-14.875,0.08227378827406288
VV,permanent water,-14.625,0.061183578195798435
VV,permanent water,-14.375,0.0606343539750103
VV,permanent water,-14.125,0.054922422078813676
VV,permanent water,-13.875,0.041631195935740765
VV,permanent water,-13.625,0.03965398874090347
VV,permanent water,-13.375,0.032953453247288204
VV,permanent water,-13.125,0.03273376355897295
VV,permanent water,-12.875,0.028449814636825485
VV,permanent water,-12.625,0.02493477962378141
VV,permanent water,-12.375,0.021309899766579706
VV,permanent water,-12.125,0.018014554441850884
VV,permanent water,-11.875,0.018783468350954277
VV,permanent water,-11.625,0.017355485376905122
