a,b,iou
cd_vv,cd_vv,1.0
cd_vv,dl_deeplab_r34,0.3672171172860615
cd_vv,dl_segformer_b0,0.3423881456793552
cd_vv,dl_segformer_b2,0.34196263292771734
cd_vv,dl_unet_r18,0.27163339336027365
cd_vv,dl_unet_r34,0.24144132452050096
cd_vv,dl_ensemble,0.36793113510358916
cd_vv,final_majority,0.6155798980868398
dl_deeplab_r34,cd_vv,0.3672171172860615
dl_deeplab_r34,dl_deeplab_r34,1.0
dl_deeplab_r34,dl_segformer_b0,0.5197903774440975
dl_deeplab_r34,dl_segformer_b2,0.5526929185833042
dl_deeplab_r34,dl_unet_r18,0.4466769574524335
dl_deeplab_r34,dl_unet_r34,0.36686823539722185
dl_deeplab_r34,dl_ensemble,0.8492508206558187
dl_deeplab_r34,final_majority,0.44679355947924915
dl_segformer_b0,cd_vv,0.3423881456793552
dl_segformer_b0,dl_deeplab_r34,0.5197903774440975
dl_segformer_b0,dl_segformer_b0,1.0
dl_segformer_b0,dl_segformer_b2,0.7258328044270097
dl_segformer_b0,dl_unet_r18,0.30119290372493296
dl_segformer_b0,dl_unet_r34,0.244764757538372
dl_segformer_b0,dl_ensemble,0.550127022766074
dl_segformer_b0,final_majority,0.271686550044606
dl_segformer_b2,cd_vv,0.34196263292771734
dl_segformer_b2,dl_deeplab_r34,0.5526929185833042
dl_segformer_b2,dl_segformer_b0,0.7258328044270097
dl_segformer_b2,dl_segformer_b2,1.0
dl_segformer_b2,dl_unet_r18,0.3392415229030339
dl_segformer_b2,dl_unet_r34,0.2744235382037776
dl_segformer_b2,dl_ensemble,0.6138013753885214
dl_segformer_b2,final_majority,0.2975660263641843
dl_unet_r18,cd_vv,0.27163339336027365
dl_unet_r18,dl_deeplab_r34,0.4466769574524335
dl_unet_r18,dl_segformer_b0,0.30119290372493296
dl_unet_r18,dl_segformer_b2,0.3392415229030339
dl_unet_r18,dl_unet_r18,1.0
dl_unet_r18,dl_unet_r34,0.6821818493811802
dl_unet_r18,dl_ensemble,0.5444083175121421
dl_unet_r18,final_majority,0.3498526171359469
dl_unet_r34,cd_vv,0.24144132452050096
dl_unet_r34,dl_deeplab_r34,0.36686823539722185
dl_unet_r34,dl_segformer_b0,0.244764757538372
dl_unet_r34,dl_segformer_b2,0.2744235382037776
dl_unet_r34,dl_unet_r18,0.6821818493811802
dl_unet_r34,dl_unet_r34,1.0
dl_unet_r34,dl_ensemble,0.45283801726045586
dl_unet_r34,final_majority,0.3281312810404969
dl_ensemble,cd_vv,0.36793113510358916
dl_ensemble,dl_deeplab_r34,0.8492508206558187
dl_ensemble,dl_segformer_b0,0.550127022766074
dl_ensemble,dl_segformer_b2,0.6138013753885214
dl_ensemble,dl_unet_r18,0.5444083175121421
dl_ensemble,dl_unet_r34,0.45283801726045586
dl_ensemble,dl_ensemble,1.0
dl_ensemble,final_majority,0.4776882751566296
final_majority,cd_vv,0.6155798980868398
final_majority,dl_deeplab_r34,0.44679355947924915
final_majority,dl_segformer_b0,0.271686550044606
final_majority,dl_segformer_b2,0.2975660263641843
final_majority,dl_unet_r18,0.3498526171359469
final_majority,dl_unet_r34,0.3281312810404969
final_majority,dl_ensemble,0.4776882751566296
final_majority,final_majority,1.0
