control,cutoff,area_km2,removed_km2,removed_pct
HAND [m],5.0,15.6159,0.7706000000000001,4.70265157294114
HAND [m],10.0,16.1054,0.2811,1.7154364873523937
HAND [m],15.0,16.3865,0.0,0.0
HAND [m],25.0,16.3865,0.0,0.0
HAND [m],inf,16.3865,0.0,0.0
slope [deg],2.0,14.895800000000001,1.4907000000000001,9.097122631434413
slope [deg],3.0,15.8209,0.5656,3.451621761816129
slope [deg],5.0,16.3865,0.0,0.0
slope [deg],10.0,16.3865,0.0,0.0
slope [deg],inf,16.3865,0.0,0.0
"min object [px], additional",0.0,16.3865,0.0,0.0
"min object [px], additional",4.0,16.361800000000002,0.0247,0.1507338357794526
"min object [px], additional",8.0,16.3394,0.0471,0.287431727336527
"min object [px], additional",16.0,15.6235,0.763,4.6562719311628475
"min object [px], additional",25.0,15.059000000000001,1.3275000000000001,8.101180850090014
"min object [px], additional",50.0,14.0822,2.3043,14.06218533548958
