filter,enl,mean_db
raw,4.903876,-5.4916263
raw,4.739603,-6.458518
raw,3.3441763,-5.342964
raw,3.1012316,-8.092005
raw,4.222167,-6.4174314
raw,2.317506,-5.535221
raw,3.764704,-6.4221106
raw,3.944812,-6.675129
raw,4.5220227,-6.6635303
raw,3.1255481,-6.188724
raw,3.160119,-6.971765
raw,4.0775423,-6.359468
raw,3.6626647,-6.468487
raw,4.0400667,-6.3726954
raw,4.5673847,-5.3921146
raw,3.6870718,-5.610208
raw,4.597746,-6.847863
raw,1.6461824,-6.5694437
raw,3.7914283,-6.6504993
raw,4.0660815,-5.1213
raw,4.154277,-7.0510044
raw,3.3661442,-7.1455584
raw,4.03593,-6.7425895
raw,4.1795473,-7.3645997
raw,3.0124118,-6.9004593
Lee 5x5,18.946646,-5.5226374
Lee 5x5,16.736135,-6.4727745
Lee 5x5,7.8878074,-5.4152718
Lee 5x5,7.02579,-8.124966
Lee 5x5,13.310383,-6.470137
Lee 5x5,5.1136365,-5.5948596
Lee 5x5,11.9876795,-6.405971
Lee 5x5,13.385499,-6.688751
Lee 5x5,13.4353485,-6.665413
Lee 5x5,7.350913,-6.2730546
Lee 5x5,7.2823405,-7.007061
Lee 5x5,9.01708,-6.359532
Lee 5x5,10.586901,-6.481573
Lee 5x5,11.378354,-6.393938
Lee 5x5,14.777994,-5.396108
Lee 5x5,9.372464,-5.64152
Lee 5x5,13.4347925,-6.8939824
Lee 5x5,2.918781,-6.633176
Lee 5x5,10.916053,-6.659272
Lee 5x5,12.677405,-5.1431427
Lee 5x5,10.794847,-7.0444345
Lee 5x5,8.348123,-7.159604
Lee 5x5,11.015328,-6.775304
Lee 5x5,10.586205,-7.3732386
Lee 5x5,8.30994,-6.9359903
Refined Lee,11.296356,-5.5026293
Refined Lee,9.883125,-6.520089
Refined Lee,5.866425,-5.4059496
Refined Lee,5.147707,-8.127799
Refined Lee,8.463872,-6.4377284
Refined Lee,4.0097003,-5.520484
Refined Lee,8.205769,-6.42891
Refined Lee,8.416605,-6.7405376
Refined Lee,9.028363,-6.697209
Refined Lee,5.4981465,-6.2905483
Refined Lee,5.701413,-7.0147853
Refined Lee,7.4335775,-6.330291
Refined Lee,6.8827214,-6.494488
Refined Lee,7.5338407,-6.4171743
Refined Lee,9.46342,-5.3617754
Refined Lee,7.8891077,-5.6658773
Refined Lee,9.017426,-6.8744903
Refined Lee,3.278814,-6.6657114
Refined Lee,7.3640356,-6.6241493
Refined Lee,8.231255,-5.1573825
Refined Lee,7.636718,-6.99167
Refined Lee,6.1385784,-7.1586204
Refined Lee,7.3181496,-6.785779
Refined Lee,7.466999,-7.343159
Refined Lee,5.7003508,-6.940224
