method,district,km2,district_km2
cd_vv,Alappuzha,241.0977,1433.3777
cd_vv,Ernakulam,27.5152,2960.1632
cd_vv,Kottayam,132.28050000000002,2185.6020000000003
gee2024,Alappuzha,396.92220000000003,1433.3777
gee2024,Ernakulam,319.1599,2960.1632
gee2024,Kottayam,267.7704,2185.6020000000003
otsu_vh,Alappuzha,316.19390000000004,1433.3777
otsu_vh,Ernakulam,70.2167,2960.1632
otsu_vh,Kottayam,161.08110000000002,2185.6020000000003
otsu_vv,Alappuzha,299.5906,1433.3777
otsu_vv,Ernakulam,63.147600000000004,2960.1632
otsu_vv,Kottayam,153.98350000000002,2185.6020000000003
split_vv,Alappuzha,308.9862,1433.3777
split_vv,Ernakulam,68.40650000000001,2960.1632
split_vv,Kottayam,159.2554,2185.6020000000003
urban_incr,Alappuzha,8.1034,1433.3777
urban_incr,Ernakulam,29.238500000000002,2960.1632
urban_incr,Kottayam,5.6104,2185.6020000000003
dl_deeplab_r34,Alappuzha,165.6766,1433.3777
dl_deeplab_r34,Ernakulam,65.4925,2960.1632
dl_deeplab_r34,Kottayam,88.7655,2185.6020000000003
dl_segformer_b0,Alappuzha,118.3815,1433.3777
dl_segformer_b0,Ernakulam,94.9796,2960.1632
dl_segformer_b0,Kottayam,93.23920000000001,2185.6020000000003
dl_segformer_b2,Alappuzha,182.106,1433.3777
dl_segformer_b2,Ernakulam,91.24220000000001,2960.1632
dl_segformer_b2,Kottayam,115.59060000000001,2185.6020000000003
dl_unet_r18,Alappuzha,65.7589,1433.3777
dl_unet_r18,Ernakulam,47.7653,2960.1632
dl_unet_r18,Kottayam,37.619800000000005,2185.6020000000003
dl_unet_r34,Alappuzha,45.5165,1433.3777
dl_unet_r34,Ernakulam,45.4581,2960.1632
dl_unet_r34,Kottayam,24.4083,2185.6020000000003
dl_ensemble,Alappuzha,91.301,1433.3777
dl_ensemble,Ernakulam,68.9563,2960.1632
dl_ensemble,Kottayam,62.7912,2185.6020000000003
final_majority,Alappuzha,259.6729,1433.3777
final_majority,Ernakulam,56.8155,2960.1632
final_majority,Kottayam,137.2115,2185.6020000000003
