group,coh_pre,coh_co,delta,n_px,coh_dry,delta_vs_dry
tree (all),0.2991408109664917,0.3078739643096924,0.011304706335067749,76174519,0.3114956021308899,-0.004172459244728088
shrub (all),0.2935141921043396,0.29784920811653137,0.005373537540435791,9788,0.31840598583221436,-0.021609961986541748
grass (all),0.3155212700366974,0.33022308349609375,0.016339927911758423,3598940,0.3563498556613922,-0.01945340633392334
cropland (all),0.28694650530815125,0.2858571410179138,-0.00037086009979248047,4273815,0.3121449053287506,-0.027725577354431152
built-up (all),0.4496448338031769,0.6269948482513428,0.12011837959289551,3840248,0.662935197353363,-0.017388522624969482
bare (all),0.3197137415409088,0.3583710789680481,0.03278753161430359,60352,0.40359923243522644,-0.028857886791229248
permanent water (all),0.28928276896476746,0.29131758213043213,0.0025981366634368896,19753427,0.29348576068878174,-0.0025642216205596924
herb. wetland (all),0.286773681640625,0.2851247787475586,-0.0011810660362243652,1719383,0.30133554339408875,-0.01710665225982666
"built-up, mapped flood",0.3175643980503082,0.41562744975090027,0.07719767093658447,9258,0.5864821672439575,-0.10132932662963867
"built-up, not flooded",0.4500660300254822,0.6275546550750732,0.12023687362670898,3830990,0.6631506085395813,-0.01725095510482788
"cropland, mapped flood",0.2847113013267517,0.28167566657066345,-0.002763122320175171,2551124,0.30936896800994873,-0.029609784483909607
"cropland, not flooded",0.29036226868629456,0.29255399107933044,0.003471583127975464,1722691,0.3165642321109772,-0.024698346853256226
all mapped flood,0.2849898636341095,0.28342288732528687,-0.0007785260677337646,5013451,0.30632853507995605,-0.02389886975288391
all non-flood land,0.3083731532096863,0.32668444514274597,0.022832363843917847,37763781,0.3383816182613373,-0.009793251752853394
