feature,cls,db,density
VV,permanent water,-34.875,0.0
VV,permanent water,-34.625,0.0
VV,permanent water,-34.375,0.0
VV,permanent water,-34.125,0.0
VV,permanent water,-33.875,0.0
VV,permanent water,-33.625,0.0
VV,permanent water,-33.375,0.0
VV,permanent water,-33.125,0.0
VV,permanent water,-32.875,0.0
VV,permanent water,-32.625,0.0
VV,permanent water,-32.375,0.0
VV,permanent water,-32.125,0.0
VV,permanent water,-31.875,0.0
VV,permanent water,-31.625,0.0
VV,permanent water,-31.375,0.0
VV,permanent water,-31.125,0.0
VV,permanent water,-30.875,0.0
VV,permanent water,-30.625,0.0
VV,permanent water,-30.375,0.0
VV,permanent water,-30.125,2.0000300004500068e-05
VV,permanent water,-29.875,2.0000300004500068e-05
VV,permanent water,-29.625,4.0000600009000136e-05
VV,permanent water,-29.375,8.000120001800027e-05
VV,permanent water,-29.125,0.00016000240003600054
VV,permanent water,-28.875,0.00020000300004500068
VV,permanent water,-28.625,0.0006800102001530023
VV,permanent water,-28.375,0.0009600144002160033
VV,permanent water,-28.125,0.0020400306004590067
VV,permanent water,-27.875,0.002480037200558008
VV,permanent water,-27.625,0.0034600519007785117
VV,permanent water,-27.375,0.005220078301174518
VV,permanent water,-27.125,0.007580113701705526
VV,permanent water,-26.875,0.008240123601854029
VV,permanent water,-26.625,0.010540158102371536
VV,permanent water,-26.375,0.012320184802772041
VV,permanent water,-26.125,0.016040240603609056
VV,permanent water,-25.875,0.019880298204473068
VV,permanent water,-25.625,0.022580338705080576
VV,permanent water,-25.375,0.028580428706430596
VV,permanent water,-25.125,0.03534053010795162
VV,permanent water,-24.875,0.04188062820942314
VV,permanent water,-24.625,0.052240783611754174
VV,permanent water,-24.375,0.06238093571403571
VV,permanent water,-24.125,0.07324109861647925
VV,permanent water,-23.875,0.08262123931858978
VV,permanent water,-23.625,0.0910413656204843
VV,permanent water,-23.375,0.09512142682140232
VV,permanent water,-23.125,0.09872148082221233
VV,permanent water,-22.875,0.10262153932308984
VV,permanent water,-22.625,0.10646159692395386
VV,permanent water,-22.375,0.11018165272479087
VV,permanent water,-22.125,0.11678175172627589
VV,permanent water,-21.875,0.12194182912743691
VV,permanent water,-21.625,0.13246198692980396
VV,permanent water,-21.375,0.14026210393155897
VV,permanent water,-21.125,0.1452821792326885
VV,permanent water,-20.875,0.15598233973509604
VV,permanent water,-20.625,0.15992239883598253
VV,permanent water,-20.375,0.16442246633699506
VV,permanent water,-20.125,0.16644249663744956
VV,permanent water,-19.875,0.16778251673775108
VV,permanent water,-19.625,0.16532247983719756
VV,permanent water,-19.375,0.16248243723655856
VV,permanent water,-19.125,0.15238228573428603
VV,permanent water,-18.875,0.14188212823192348
VV,permanent water,-18.625,0.12494187412811192
VV,permanent water,-18.375,0.10956164342465137
VV,permanent water,-18.125,0.09054135812037181
VV,permanent water,-17.875,0.07574113611704175
VV,permanent water,-17.625,0.06186092791391871
VV,permanent water,-17.375,0.04756071341070116
VV,permanent water,-17.125,0.037240558608379125
VV,permanent water,-16.875,0.0293204398065971
VV,permanent water,-16.625,0.023020345305179577
VV,permanent water,-16.375,0.01802027030405456
VV,permanent water,-16.125,0.014120211803177048
VV,permanent water,-15.875,0.012800192002880044
VV,permanent water,-15.625,0.010660159902398537
VV,permanent water,-15.375,0.010380155702335536
VV,permanent water,-15.125,0.00864012960194403
VV,permanent water,-14.875,0.0075401131016965255
VV,permanent water,-14.625,0.007020105301579524
VV,permanent water,-14.375,0.006440096601449022
VV,permanent water,-14.125,0.006140092101381521
VV,permanent water,-13.875,0.005380080701210518
VV,permanent water,-13.625,0.005080076201143017
