a,b,iou
cd_vv,cd_vv,1.0
cd_vv,otsu_vh,0.6893585135517305
cd_vv,otsu_vv,0.7410021824248607
cd_vv,split_vv,0.738384349368479
cd_vv,dl_deeplab_r34,0.4049247091597674
cd_vv,dl_segformer_b0,0.32620782486492894
cd_vv,dl_segformer_b2,0.427524933485108
cd_vv,dl_unet_r18,0.1952838328899306
cd_vv,dl_unet_r34,0.1364056472585318
cd_vv,dl_ensemble,0.29049085584464834
cd_vv,final_majority,0.8506454585881762
otsu_vh,cd_vv,0.6893585135517305
otsu_vh,otsu_vh,1.0
otsu_vh,otsu_vv,0.8988283730493649
otsu_vh,split_vv,0.907485594816811
otsu_vh,dl_deeplab_r34,0.5241124666625682
otsu_vh,dl_segformer_b0,0.43709032043119084
otsu_vh,dl_segformer_b2,0.5694128907600937
otsu_vh,dl_unet_r18,0.2601298917086569
otsu_vh,dl_unet_r34,0.2000096799388329
otsu_vh,dl_ensemble,0.38232172622097516
otsu_vh,final_majority,0.7961063022987512
otsu_vv,cd_vv,0.7410021824248607
otsu_vv,otsu_vh,0.8988283730493649
otsu_vv,otsu_vv,1.0
otsu_vv,split_vv,0.9612609676139426
otsu_vv,dl_deeplab_r34,0.5094770071092037
otsu_vv,dl_segformer_b0,0.4109389594792949
otsu_vv,dl_segformer_b2,0.5480049118611269
otsu_vv,dl_unet_r18,0.24963816957410329
otsu_vv,dl_unet_r34,0.19000989072469268
otsu_vv,dl_ensemble,0.36842729913216693
otsu_vv,final_majority,0.871515219966373
split_vv,cd_vv,0.738384349368479
split_vv,otsu_vh,0.907485594816811
split_vv,otsu_vv,0.9612609676139426
split_vv,split_vv,1.0
split_vv,dl_deeplab_r34,0.520639894893233
split_vv,dl_segformer_b0,0.4273392506297128
split_vv,dl_segformer_b2,0.5664039116831582
split_vv,dl_unet_r18,0.2601090368053172
split_vv,dl_unet_r34,0.19990253560224877
split_vv,dl_ensemble,0.38099845826367046
split_vv,final_majority,0.8520638483140975
dl_deeplab_r34,cd_vv,0.4049247091597674
dl_deeplab_r34,otsu_vh,0.5241124666625682
dl_deeplab_r34,otsu_vv,0.5094770071092037
dl_deeplab_r34,split_vv,0.520639894893233
dl_deeplab_r34,dl_deeplab_r34,1.0
dl_deeplab_r34,dl_segformer_b0,0.49908068273586126
dl_deeplab_r34,dl_segformer_b2,0.5645113399880337
dl_deeplab_r34,dl_unet_r18,0.4440676559431231
dl_deeplab_r34,dl_unet_r34,0.34214806525115965
dl_deeplab_r34,dl_ensemble,0.6752720881016671
dl_deeplab_r34,final_majority,0.5243029567880524
dl_segformer_b0,cd_vv,0.32620782486492894
dl_segformer_b0,otsu_vh,0.43709032043119084
dl_segformer_b0,otsu_vv,0.4109389594792949
dl_segformer_b0,split_vv,0.4273392506297128
dl_segformer_b0,dl_deeplab_r34,0.49908068273586126
dl_segformer_b0,dl_segformer_b0,1.0
dl_segformer_b0,dl_segformer_b2,0.6943476309944772
dl_segformer_b0,dl_unet_r18,0.38773871968428814
dl_segformer_b0,dl_unet_r34,0.3413093224806956
dl_segformer_b0,dl_ensemble,0.6470200655438967
dl_segformer_b0,final_majority,0.42881404471665585
dl_segformer_b2,cd_vv,0.427524933485108
dl_segformer_b2,otsu_vh,0.5694128907600937
dl_segformer_b2,otsu_vv,0.5480049118611269
dl_segformer_b2,split_vv,0.5664039116831582
dl_segformer_b2,dl_deeplab_r34,0.5645113399880337
dl_segformer_b2,dl_segformer_b0,0.6943476309944772
dl_segformer_b2,dl_segformer_b2,1.0
dl_segformer_b2,dl_unet_r18,0.3662291745998789
dl_segformer_b2,dl_unet_r34,0.30581861872628485
dl_segformer_b2,dl_ensemble,0.5878737617232307
dl_segformer_b2,final_majority,0.5389415152878176
dl_unet_r18,cd_vv,0.1952838328899306
dl_unet_r18,otsu_vh,0.2601298917086569
dl_unet_r18,otsu_vv,0.24963816957410329
dl_unet_r18,split_vv,0.2601090368053172
dl_unet_r18,dl_deeplab_r34,0.4440676559431231
dl_unet_r18,dl_segformer_b0,0.38773871968428814
dl_unet_r18,dl_segformer_b2,0.3662291745998789
dl_unet_r18,dl_unet_r18,1.0
dl_unet_r18,dl_unet_r34,0.6612891262963324
dl_unet_r18,dl_ensemble,0.6120006380598617
dl_unet_r18,final_majority,0.2825494756573244
dl_unet_r34,cd_vv,0.1364056472585318
dl_unet_r34,otsu_vh,0.2000096799388329
dl_unet_r34,otsu_vv,0.19000989072469268
dl_unet_r34,split_vv,0.19990253560224877
dl_unet_r34,dl_deeplab_r34,0.34214806525115965
dl_unet_r34,dl_segformer_b0,0.3413093224806956
dl_unet_r34,dl_segformer_b2,0.30581861872628485
dl_unet_r34,dl_unet_r18,0.6612891262963324
dl_unet_r34,dl_unet_r34,1.0
dl_unet_r34,dl_ensemble,0.5183618208914399
dl_unet_r34,final_majority,0.2186093816506332
dl_ensemble,cd_vv,0.29049085584464834
dl_ensemble,otsu_vh,0.38232172622097516
dl_ensemble,otsu_vv,0.36842729913216693
dl_ensemble,split_vv,0.38099845826367046
dl_ensemble,dl_deeplab_r34,0.6752720881016671
dl_ensemble,dl_segformer_b0,0.6470200655438967
dl_ensemble,dl_segformer_b2,0.5878737617232307
dl_ensemble,dl_unet_r18,0.6120006380598617
dl_ensemble,dl_unet_r34,0.5183618208914399
dl_ensemble,dl_ensemble,1.0
dl_ensemble,final_majority,0.42295759261241866
final_majority,cd_vv,0.8506454585881762
final_majority,otsu_vh,0.7961063022987512
final_majority,otsu_vv,0.871515219966373
final_majority,split_vv,0.8520638483140975
final_majority,dl_deeplab_r34,0.5243029567880524
final_majority,dl_segformer_b0,0.42881404471665585
final_majority,dl_segformer_b2,0.5389415152878176
final_majority,dl_unet_r18,0.2825494756573244
final_majority,dl_unet_r34,0.2186093816506332
final_majority,dl_ensemble,0.42295759261241866
final_majority,final_majority,1.0
