a,b,iou
otsu_vv,otsu_vh,0.8988283730493649
otsu_vv,split_vv,0.9612609676139426
otsu_vv,cd_vv,0.7410021824248607
otsu_vv,dl_deeplab_r34,0.5094770071092037
otsu_vv,dl_segformer_b0,0.4109389594792949
otsu_vv,dl_segformer_b2,0.5480049118611269
otsu_vv,dl_unet_r18,0.24963816957410329
otsu_vv,dl_unet_r34,0.19000989072469268
otsu_vh,split_vv,0.907485594816811
otsu_vh,cd_vv,0.6893585135517305
otsu_vh,dl_deeplab_r34,0.5241124666625682
otsu_vh,dl_segformer_b0,0.43709032043119084
otsu_vh,dl_segformer_b2,0.5694128907600937
otsu_vh,dl_unet_r18,0.2601298917086569
otsu_vh,dl_unet_r34,0.2000096799388329
split_vv,cd_vv,0.738384349368479
split_vv,dl_deeplab_r34,0.520639894893233
split_vv,dl_segformer_b0,0.4273392506297128
split_vv,dl_segformer_b2,0.5664039116831582
split_vv,dl_unet_r18,0.2601090368053172
split_vv,dl_unet_r34,0.19990253560224877
cd_vv,dl_deeplab_r34,0.4049247091597674
cd_vv,dl_segformer_b0,0.32620782486492894
cd_vv,dl_segformer_b2,0.427524933485108
cd_vv,dl_unet_r18,0.1952838328899306
cd_vv,dl_unet_r34,0.1364056472585318
dl_deeplab_r34,dl_segformer_b0,0.49908068273586126
dl_deeplab_r34,dl_segformer_b2,0.5645113399880337
dl_deeplab_r34,dl_unet_r18,0.4440676559431231
dl_deeplab_r34,dl_unet_r34,0.34214806525115965
dl_segformer_b0,dl_segformer_b2,0.6943476309944772
dl_segformer_b0,dl_unet_r18,0.38773871968428814
dl_segformer_b0,dl_unet_r34,0.3413093224806956
dl_segformer_b2,dl_unet_r18,0.3662291745998789
dl_segformer_b2,dl_unet_r34,0.30581861872628485
dl_unet_r18,dl_unet_r34,0.6612891262963324
