control,cutoff,area_km2,removed_km2,removed_pct
HAND [m],5.0,593.0655,2.7341,0.4588959106384093
HAND [m],10.0,595.5237000000001,0.27590000000000003,0.04630751682277061
HAND [m],15.0,595.7996,0.0,0.0
HAND [m],25.0,595.7996,0.0,0.0
HAND [m],inf,595.7996,0.0,0.0
slope [deg],2.0,487.55150000000003,108.24810000000001,18.16854190570118
slope [deg],3.0,544.9958,50.8038,8.526994647193453
slope [deg],5.0,595.7996,0.0,0.0
slope [deg],10.0,595.7996,0.0,0.0
slope [deg],inf,595.7996,0.0,0.0
"min object [px], additional",0.0,595.7996,0.0,0.0
"min object [px], additional",4.0,595.5319000000001,0.2677,0.04493121512669696
"min object [px], additional",8.0,595.1212,0.6784,0.1138637890995563
"min object [px], additional",16.0,591.5851,4.2145,0.7073687192807783
"min object [px], additional",25.0,588.2544,7.5452,1.266398970392058
"min object [px], additional",50.0,580.7085000000001,15.0911,2.532915429953293
