zoom,filter,land_side_db,water_side_db,contrast_db,n_edge_px,retention
kochi_urban,raw,-14.675458,-17.709719,3.0342607,7827,1.0
kochi_urban,Lee 5x5,-14.150006,-16.819187,2.6691809,7827,0.87968075
kochi_urban,Refined Lee,-13.498241,-16.109917,2.6116753,7827,0.8607287
aluva_periyar,raw,-13.320537,-16.541601,3.2210646,25151,1.0
aluva_periyar,Lee 5x5,-12.861921,-15.675462,2.8135405,25151,0.8734816
aluva_periyar,Refined Lee,-12.747445,-15.5080595,2.7606144,25151,0.8570503
kuttanad_paddy,raw,-12.570115,-18.110611,5.540496,95705,1.0
kuttanad_paddy,Lee 5x5,-12.222094,-17.226177,5.0040836,95705,0.90318334
kuttanad_paddy,Refined Lee,-12.019067,-16.694334,4.675267,95705,0.84383553
chengannur,raw,-12.42038,-16.395136,3.9747562,24764,1.0
chengannur,Lee 5x5,-11.863926,-15.396908,3.5329819,24764,0.888855
chengannur,Refined Lee,-11.501457,-14.957015,3.4555578,24764,0.86937606
