filter,enl,mean_db
raw,4.7018304,-5.1773176
raw,4.5508995,-5.0252466
raw,5.9747214,-7.775449
raw,4.872194,-5.9622884
raw,5.5772295,-5.463497
raw,4.6553664,-4.9369316
raw,4.2522583,-5.3672037
raw,4.249451,-7.0911794
raw,3.7828386,-4.722703
raw,4.944646,-5.2895093
raw,4.3342557,-4.8033433
raw,3.6889932,-5.321518
raw,4.642796,-6.541644
raw,3.6995742,-4.784288
raw,2.593685,-4.3716283
raw,4.232125,-4.8327236
raw,3.9916503,-7.5539265
raw,4.589332,-5.300655
raw,2.3412275,-5.0794935
raw,5.1414404,-4.869261
raw,3.2054527,-6.1880975
raw,4.565158,-5.592345
raw,3.8938134,-5.0554514
raw,3.8968794,-5.2861366
raw,2.7321844,-4.84494
Lee 5x5,20.092863,-5.19559
Lee 5x5,17.354902,-5.0399027
Lee 5x5,23.960804,-7.762166
Lee 5x5,14.909231,-5.984024
Lee 5x5,24.81339,-5.4577007
Lee 5x5,20.91732,-5.006199
Lee 5x5,14.845571,-5.4083176
Lee 5x5,15.202434,-7.156956
Lee 5x5,13.115082,-4.7612753
Lee 5x5,20.261492,-5.3240914
Lee 5x5,11.6721525,-4.8377795
Lee 5x5,10.076931,-5.3094335
Lee 5x5,13.756071,-6.536236
Lee 5x5,11.236736,-4.835931
Lee 5x5,5.7836304,-4.3827224
Lee 5x5,17.450338,-4.852478
Lee 5x5,9.173316,-7.5793877
Lee 5x5,17.820976,-5.30527
Lee 5x5,5.434143,-5.1113214
Lee 5x5,17.137491,-4.901491
Lee 5x5,8.70917,-6.220677
Lee 5x5,17.834988,-5.6331825
Lee 5x5,14.4514065,-5.1052165
Lee 5x5,11.49516,-5.3078356
Lee 5x5,6.5736933,-4.871194
Refined Lee,11.119857,-5.178001
Refined Lee,10.410167,-5.048606
Refined Lee,13.852714,-7.7504272
Refined Lee,9.25095,-5.9568205
Refined Lee,12.827168,-5.448369
Refined Lee,11.09068,-4.977785
Refined Lee,9.098882,-5.421037
Refined Lee,9.101604,-7.1473913
Refined Lee,8.474723,-4.7758765
Refined Lee,11.083215,-5.323741
Refined Lee,7.6455874,-4.8438964
Refined Lee,7.4966373,-5.3371887
Refined Lee,8.899567,-6.548794
Refined Lee,7.5540447,-4.8151484
Refined Lee,5.2537413,-4.4228573
Refined Lee,9.883407,-4.863656
Refined Lee,6.5657544,-7.5676913
Refined Lee,10.542741,-5.3145223
Refined Lee,4.7316375,-5.108326
Refined Lee,10.389649,-4.8881683
Refined Lee,5.851186,-6.2342687
Refined Lee,10.640378,-5.6195
Refined Lee,9.600724,-5.1316347
Refined Lee,7.928808,-5.3156753
Refined Lee,6.076065,-4.9076014
